id,board,black_score,best_move
80091,6R1/8/5K2/8/5k2/8/8/2r5 w - - 89 118,0.0,g8d8
18578,r1bn1rk1/1p2b1p1/1q2p2p/p2p1p1n/P2P3P/2PB1N2/1PQN1PPB/R4RK1 w - - 1 16,-131.0,f3e5
11580,r2qkb1r/2p2pp1/p1n2nP1/1p1p3p/P7/1Q5b/1PP1PPB1/RNB1K1NR w KQkq - 0 11,-490.0,g6f7
72805,8/4kp2/R6p/8/4K3/8/8/8 b - - 7 85,-574.0,h6h5
74310,8/8/k7/4R3/8/6K1/8/1r6 w - - 99 90,0.0,e5e6
46635,1r6/3R2R1/2p1k3/7p/P3p3/1P2K3/1P3r2/8 w - - 2 40,-525.0,e3f2
19817,r4rk1/1b1n1p1p/p3pbp1/q1p5/P1Q1P3/2P2NP1/3B1PBP/R4RK1 w - - 3 17,34.0,c4e2
35312,1k1r4/1p4p1/p6p/5Rb1/8/2P5/PP2K1PP/3N4 b - - 3 28,313.0,d8d2
9698,r1b1kb1r/pp3ppp/8/2p1p3/3nn3/N5PN/PPP2PBP/R1BR2K1 w kq - 0 10,-94.0,c2c3
12202,r1b1k2r/pp2bpp1/1qn1p2p/3pB2n/P2P4/2PB1N2/1P1N1PPP/R2QK2R b KQkq - 0 11,61.0,b6b2
39911,1k6/1p4p1/p6p/5Rb1/2K2N2/2P3P1/PP1r3P/8 b - - 4 32,18.0,d2b2
78924,8/8/8/3K4/6k1/8/8/2r2R2 b - - 68 107,518.0,c1f1
12858,r1b1k1r1/pp2bppp/2nq4/2p1p3/3p4/3P2P1/PPPN1PBP/R1BQR1K1 w q - 4 12,-138.0,d2c4
10523,r1bqk2r/1pp1bppp/p1n5/3n4/4PQ2/4BN2/PPP2PPP/R3KB1R b KQkq - 1 10,626.0,d5f4
66623,8/7R/8/5K2/1k1p4/1p6/8/8 b - - 3 69,8.0,d4d3
51551,5r1k/8/p6p/Ppr2p1P/3N1P2/3PK3/2P5/6R1 w - - 5 46,-140.0,g1g6
34339,1rb1k3/1pR2p2/6p1/p2Bp3/2P5/8/PP3r1P/2KR4 w - - 0 28,10.0,b2b3
19750,2kr3r/1pp2ppp/p7/3n2b1/6b1/1BP2N2/PP3PPP/R1B2RK1 w - - 7 17,-494.0,f3g5
12926,r1b1k2r/pp2bpp1/2n1p2p/2qpB2n/3P4/2PB1N2/PPQN1PPP/R3K2R w KQkq - 3 12,-655.0,d4c5
41424,3rbk2/6p1/B1p5/7p/P2Rp2r/1P6/1P3P2/2K3R1 w - - 1 34,-526.0,d4d8
58459,r7/3N4/4k3/7R/3K4/8/8/8 w - - 11 56,6.0,h5g5
68063,8/8/8/8/4K3/1p6/2kR4/8 b - - 2 72,924.0,c2d2
50339,8/p2k4/3R4/6P1/1bP3Pp/3K4/1r1p4/8 b - - 1 44,999.0,b4d6
64939,3k4/8/1R2N2p/r4p1P/2P5/3PK3/rp6/8 b - - 1 66,420.0,d8c8
29555,r1b5/5k1p/p1p2p2/2Prp1p1/P7/4PP1P/2P2RP1/BR4K1 w - - 0 24,-65.0,g2g4
74372,8/8/8/7p/8/4N1K1/8/1k6 w - - 4 90,42.0,g3h4
66167,8/8/2B5/p7/2K5/k7/8/2b5 w - - 27 69,0.0,c6b5
43844,7r/8/p2k4/1p4RP/2p5/4P3/3K1nB1/8 b - - 9 36,68.0,b5b4
2235,rnbqkbnr/pp2pppp/8/3p4/3pP2P/8/PPP2PP1/RNBQKBNR w KQkq - 0 4,6.0,d1d4
12850,r1bq1rk1/pp3pp1/2n2n1p/8/1bB4Q/2N2N2/PP3PPP/R1B2RK1 w - - 0 12,-107.0,c1h6
17954,r2q2k1/pp3pbp/2pp2p1/2P2b2/2PNQ3/1P2P1P1/PB3P1P/R3K2R b KQ - 2 15,498.0,f5e4
59938,4r3/8/p7/4R1KP/pk6/8/8/8 w - - 5 58,-790.0,e5e8
45857,8/5r2/5p2/p1kb1p2/2p2P2/1P2K3/P1RN2P1/8 w - - 1 39,-36.0,d2c4
33717,1rb1k3/1pR2pp1/8/p3p3/2P5/3R4/PP3r1P/2K4B b - - 1 27,177.0,c8f5
9012,rnb1kb1r/1p3ppp/p3pn2/8/4p3/1NN1B3/PPP1BPPP/R3K2R b KQkq - 1 9,86.0,b8d7
65856,8/3N4/3k4/8/5K2/4R3/8/3r4 b - - 36 68,11.0,d1f1
43339,8/3R1pk1/4p1p1/8/7p/P1b2B1P/r4PP1/4K3 w - - 1 36,55.0,e1f1
70395,8/8/8/2K1b3/8/1B6/1k6/8 b - - 8 78,0.0,b2c3
63098,4k3/8/1R4Np/r4p1P/r7/1p1P4/2P1K3/8 w - - 0 63,8.0,c2b3
51070,8/2r2pk1/R5pp/8/P4RPP/4P2K/5P2/r7 b - - 6 45,-246.0,a1h1
17034,2rq1rk1/1b1n1pbp/p3p1p1/2pn4/P1Q1P3/2N2NP1/1P3PBP/R1B2RK1 w - - 1 15,-306.0,e4d5
29022,r3r1k1/pp2b2p/6p1/2p4q/3pNP2/1P1P2Q1/P1P4P/R1B3K1 b - - 0 23,354.0,h5d1
61639,R7/8/5P2/3b4/2k1N3/p6r/8/2K5 b - - 6 60,616.0,h3h1
48297,8/5r2/1p4pk/pB3pbp/P2P4/2P5/1P4K1/5R2 w - - 10 42,187.0,f1e1
43840,7r/3B4/p2k4/1p4RP/2p5/4P3/3K1n2/8 b - - 9 36,588.0,f2e4
80293,8/8/5K2/8/8/3k4/4R3/r7 b - - 94 120,507.0,d3e2
65078,8/8/6K1/1pk5/3p3R/8/8/8 b - - 1 66,26.0,d4d3
52638,3B4/1k1b4/p6R/2p5/7p/2r2P2/6PK/8 b - - 3 47,44.0,h4h3
74697,7R/4r3/8/5k2/8/4K3/8/8 w - - 35 91,0.0,e3f3
35741,2r3k1/pp5p/8/q2p1pp1/3Rb3/bP1NP1P1/P3QP1P/4R1K1 w - - 2 29,-331.0,f2f3
11663,r3kb1r/pp2pppp/2n2n2/8/8/1QP1B2q/PP3PPP/RN2KB1R w KQkq - 4 11,-714.0,g2h3
18268,r3k2r/p2b1ppp/4n3/1pBnp3/2p1P3/N1P2PPN/PP3RBP/R5K1 w kq - 1 16,-556.0,e4d5
23829,1r2rk2/1p3pp1/p4n1p/3pqb2/8/P1N1P1PP/1P1Q1PB1/2R2RK1 w - - 2 20,-93.0,f1d1
14290,r2q1rk1/pp3ppp/2n1bn2/8/2B4Q/2P2N2/P4PPP/R1B2RK1 w - - 1 13,-35.0,c4e6
25878,1r1q1r1k/1pp3bn/4b3/pPPp1p2/3P2Pp/P1N1PB2/6P1/1RBQ1RK1 w - - 1 21,-133.0,g4f5
40764,5rk1/p5b1/4r1pp/Ppp2q1P/3pNBQ1/1P1P1P2/2P3K1/7R b - - 1 33,523.0,f5g4
68462,8/8/1k3N2/8/3K4/8/2R5/7r b - - 12 73,6.0,b6b5
